"ANF. RÉPTEIS (""B"")",,,,,
9:45-10:35,DOL0006,DMP0120,DOL0006,DMP0120,FPE0003
10:50-11:40,DOL0006,DMP0120,DOL0006,DMP0120,FPE0003
11:40-12:30,,,,,FPE0003
13:00-13:50,,,,,
13:50-14:40,DFS0026,DMP0045,DFS0026,DMP0045,
14:55-15:45,DFS0026,DMP0045,DFS0026,DMP0045,
15:45-16:35,DFS0026,,DFS0026,,
16:50-17:40,DFS0063,,DFS0063,DBQ0060,DFS0063
17:40-18:30,DFS0063,,DFS0063,DBQ0060,DFS0063
18:45-19:35,DFS0063,DBQ0032,DFS0063,DBQ0032,DFS0063
19:35-20:25,DFS0063,DBQ0032,DFS0063,DBQ0032,DFS0063
20:35-21:25,,PEC2000,,PEC2000,
21:25-22:15,,PEC2000,,PEC2000,
,,,,,
,,,,,
SALA DAS CÉLULAS (S1A) -DMOR,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,PEC0301,,,
7:50-8:40,DOL0087,PEC0301,DOL0087,DMP0059,
8:55-9:45,DOL0087,PEC0301,DOL0087,DMP0059,
9:45-10:35,,PEC0301,,DMP0059,
10:50-11:40,MOR0069,MOR0042,MOR0069,MOR0042,MOR0069
11:40-12:30,MOR0069,MOR0042,MOR0069,MOR0042,MOR0069
13:00-13:50,,BEZ0097,,,
13:50-14:40,,BEZ0097,MOR0100,,
14:55-15:45,DMP0095,,MOR0100,,DBG0077
15:45-16:35,DMP0095,,MOR0100,,DBG0077
16:50-17:40,,DMP0049,DMP0086,DMP0049,
17:40-18:30,,DMP0049,DMP0086,DMP0049,
18:45-19:35,DBG0202,DMP0043,DBG0202,DMP0043,
19:35-20:25,DBG0202,DMP0043,DBG0202,DMP0043,
20:35-21:25,,DBG0049,,DBG0049,
21:25-22:15,,DBG0049,,DBG0049,
,,,,,
,,,,,
"ANF. ""A"" DMOR",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,
8:55-9:45,,MOR0067,MOR0067,,
9:45-10:35,,MOR0067,MOR0067,,
10:50-11:40,,MOR0068-1,,MOR0068-1,
11:40-12:30,,MOR0068-1,,MOR0068-1,
13:00-13:50,MOR0057,,MOR0057,,MOR0057
13:50-14:40,MOR0057,,MOR0057,,MOR0057
14:55-15:45,MOR0013,MOR0067,MOR0013,MOR0067,MOR0013
